term,beta,se,pval,ci_lo,ci_hi
const,0.048090404877980546,0.0250832784020895,0.05520876380674392,-0.0010728207901148784,0.09725363054607597
treat,-0.01993721473253746,0.032213854880631776,0.5359810125211306,-0.08307637029857573,0.04320194083350082
d_corruption,-0.2273814409382874,0.8181796179698281,0.7810803745768853,-1.8310134921591505,1.3762506102825756
y_1961,2.264503642845686e-16,4.375164713786698e-16,0.6047503993977338,-6.310819196176242e-16,1.0839826481867614e-15
y_1962,-3.1045545373215888e-16,5.519794849921051e-16,0.5738161339841326,-1.3923352443166849e-15,7.714243368523671e-16
y_1963,9.578704503489454e-17,1.8624595891014432e-16,0.6070394528443446,-2.6925503442898833e-16,4.608291244987774e-16
y_1964,-2.9876534314710144e-16,5.336624680947907e-16,0.5755889006245811,-1.3447437806128912e-15,7.472130943186884e-16
y_1965,-5.85904686551173e-16,1.1330345849509013e-15,0.6050786510669071,-2.8066524730549395e-15,1.6348430999525936e-15
y_1966,1.0015821832959292e-16,1.9301299676848157e-16,0.6038168407441911,-2.7814725533663095e-16,4.784636919958168e-16
y_1967,-1.519744874616516e-16,3.009330287560907e-16,0.6135511154208588,-7.418032238235894e-16,4.3785424890028617e-16
y_1968,-3.518225997190287e-17,2.7362629921372754e-16,0.8976917554940846,-5.714898064308088e-16,5.011252864870031e-16
y_1969,-5.0465554583273185e-17,1.0792705190311148e-16,0.640078186070222,-2.6200257631337166e-16,1.610714671468253e-16
y_1970,6.590241536421114e-17,8.722279695079711e-17,0.4499105780878415,-1.0505426665935119e-16,2.3685909738777347e-16
y_1971,-2.108653066417438e-17,9.50051153415064e-17,0.8243516160115194,-2.0729655673352693e-16,1.6512349540517816e-16
y_1972,-5.969515197925496e-17,7.343870600499009e-17,0.41630016199732545,-2.036350157490355e-16,8.424471179052561e-17
y_1973,-6.441762426003312e-17,1.4449692425090088e-16,0.6557372451247614,-3.476315957917988e-16,2.1879634727173261e-16
y_1974,3.399934251989981e-17,8.2834231526964e-17,0.6814755894972632,-1.2835575127294962e-16,1.9635443631274924e-16
y_1975,-4.228977739922408e-17,9.244780300708924e-17,0.647351287021388,-2.2348747129311896e-16,1.389079164946708e-16
y_1976,-4.3852204224191973e-17,1.258622157680842e-16,0.727529014440227,-2.90542147129637e-16,2.0283773868125304e-16
y_1977,-1.9813468492456617e-17,1.1677879102458506e-16,0.8652722881835404,-2.4869989890064334e-16,2.090729619157301e-16
y_1978,1.1692211749042622e-17,1.2430033373217863e-16,0.9250581566150909,-2.319364423660275e-16,2.5532086586411273e-16
y_1979,-7.891774113304413e-17,2.1799817600370261e-16,0.717343798570033,-5.061941661003012e-16,3.4835868383421297e-16
y_1980,6.384413475921825e-17,7.80344652900171e-17,0.41326980756864873,-8.910341720921527e-17,2.167916867276518e-16
y_1981,-2.1942795218889557e-17,2.943655329318628e-17,0.45601375784733567,-7.963843967353467e-17,3.5752849235755555e-17
y_1982,9.75890253603669e-18,1.0531651020506819e-16,0.9261716033863917,-1.9666145746589698e-16,2.1617926253797034e-16
y_1983,4.519487145702813e-17,4.052516003653337e-17,0.2647519026713858,-3.423444221457727e-17,1.2462418512863354e-16
y_1984,-8.073545859990087e-18,2.0909670230147437e-17,0.6994111988139284,-4.9056499511079065e-17,3.290940779109889e-17
y_1985,2.6147954923774416e-17,4.5052384297824655e-17,0.5616516232294096,-6.21547182999619e-17,1.1445062814751074e-16
y_1986,1.5022548262499318e-17,2.4615375929021644e-17,0.541668899754488,-3.3223588558383105e-17,6.326868508338174e-17
y_1987,-3.641339866531118e-17,3.856543056814964e-17,0.34506852669839405,-1.1200164257888448e-16,3.917484524826212e-17
y_1988,-9.393332708973916e-18,8.389832049337585e-18,0.26288035573174096,-2.5837403525675584e-17,7.050738107727752e-18
y_1989,3.112853685301217e-17,3.078938398480455e-17,0.3120091292671814,-2.921865575720475e-17,9.147572946322909e-17
y_1990,4.196846108382536e-19,4.4116268930983214e-18,0.9242103912804981,-8.227104099634457e-18,9.066473321310963e-18
y_1991,-3.883421020213963e-18,4.1309914922105795e-18,0.3471816747335066,-1.1980164344946699e-17,4.213322304518772e-18
y_1992,5.712119134636381e-18,2.139891589218925e-17,0.7895192252033559,-3.622975601405455e-17,4.765399428332731e-17
y_1993,-7.491496163577443e-18,4.817290083011052e-18,0.11991591032075828,-1.6933384726279107e-17,1.950392399124219e-18
y_1994,0.0,0.0,,0.0,0.0
y_1995,0.0,0.0,,0.0,0.0
y_1996,0.0,0.0,,0.0,0.0
y_1997,0.29351819443122085,0.4229621354534165,0.4877081973887376,-0.5354875910574755,1.1225239799199171
y_1998,-0.023148472235445493,0.14165947408239643,0.8701961990972837,-0.3008010414369425,0.25450409696605153
y_1999,-0.08472593015805817,0.2937232578780572,0.7729985037579783,-0.6604235155990503,0.49097165528293396
y_2000,0.0986074031752756,0.0854131992887437,0.2483054826280291,-0.06880246743066205,0.26601727378121326
y_2001,0.01295508599355206,0.08211343051445183,0.8746375586556883,-0.14798723781477352,0.17389740980187762
y_2002,-0.08704491400644726,0.03427571939618314,0.011099507849971603,-0.1542253240229662,-0.01986450398992831
y_2003,-0.10147122489177167,0.27404843905190807,0.711183201906276,-0.6386061654335115,0.43566371564996814
y_2004,-0.3158542496170251,0.3548235537558064,0.373373147872222,-1.0113084149784055,0.3795999157443554
y_2005,0.034801431634966386,0.19569421726211458,0.8588519553892198,-0.3487592341987782,0.418362097468711
y_2006,0.12363664591487912,0.17736042311574532,0.48574481873411157,-0.22398978339198172,0.47126307522173994
y_2007,0.1857832255166163,0.20307801363361172,0.36027735032698516,-0.21224968120526266,0.5838161322384953
y_2008,0.08127572774874084,0.113372466365319,0.47344120891588903,-0.1409343063272844,0.30348576182476605
y_2009,-0.04780676191805843,0.17878682296005688,0.7891647930085449,-0.3982289349197699,0.30261541108365303
y_2010,-0.10192661085372004,0.09043488937991476,0.2597121378014554,-0.279178994038353,0.0753257723309129
y_2011,0.06239839730402401,0.10417684257316089,0.5491954897102003,-0.14178821413937132,0.26658500874741936
y_2012,0.01248354989323061,0.1255750387161822,0.9208118878399367,-0.2336435259904865,0.2586106257769477
y_2013,-0.10556884661407154,0.06372415390865346,0.09758953652867507,-0.23046818827503232,0.019330495046889246
y_2014,0.03704209312111496,0.1444521200258418,0.7976175641253362,-0.24608406212953493,0.32016824837176483
y_2015,-0.02569998152990486,0.18088529285386196,0.8870176927664157,-0.3802351555234743,0.32883519246366455
y_2016,0.21773351175764943,0.09814155630756763,0.026516270524583593,0.02537606139481688,0.410090962120482
y_2017,0.15577227808515176,0.21354552131751206,0.46572215389439375,-0.26277694369717186,0.5743214998674754
y_2018,-0.06992124776464646,0.13924816328313594,0.6155732118833301,-0.3428476477995929,0.20300515227029997
y_2019,0.08989841712710338,0.208947934422337,0.6670187777846791,-0.3196395343406771,0.4994363685948839
y_2020,0.060957913948433584,0.191619771541689,0.750394577389827,-0.31461683827327686,0.436532666170144
y_2021,-0.19493698529006917,0.18030707553047018,0.2796353516872496,-0.5483388533297907,0.1584648827496524
y_2022,-0.26066824589476023,0.2838026500539089,0.35836543460567105,-0.8169214400004217,0.2955849482109012
y_2023,0.0,0.0,,0.0,0.0
y_2024,0.0,0.0,,0.0,0.0
